;LINHA;Poste_qtd;qtd_trafo;Ramal_servico_qtd;Ramal_servico_km;REDE_MT_KM
291;LDA VIENA;859;94.0;6329.0;99124.0;12729.0
292;LDA VILAMIL;1642;86.0;1964.0;28573.0;31464.0
293;LDA VILAPAN;80;6.0;171.0;2080.0;2130.0
294;LDA VIOLETA;833;94.0;5106.0;159933.0;15667.0
295;LDA VIPAR;77;8.0;41.0;860.0;2722.0
296;LDA VIRGILIO;1210;95.0;6198.0;87048.0;20083.0
297;LDA WELLPONT;147;26.0;322.0;3863.0;1810.0
298;LDA XAVIER;408;47.0;747.0;8308.0;4763.0
299;LDA ZELINA;644;72.0;3083.0;45545.0;9992.0
300;LDA ZOASTRO;661;60.0;1799.0;26192.0;14401.0
301;LDS 24794;6;0.0;0.0;0.0;64.0
302;LDS 29436;0;0.0;0.0;0.0;2.0
303;LDS 61156;68;0.0;0.0;0.0;1545.0
304;LRA PASCAN;0;12.0;163.0;2082.0;1798.0
305;LRA PEIXOTO;0;8.0;150.0;1784.0;1134.0
306;LRA R CARLEME;0;23.0;178.0;2522.0;1062.0
307;LRA R PAÇUCAR;0;7.0;97.0;1234.0;715.0
308;LRA R POLIXENA;0;7.0;32.0;464.0;1214.0
309;LRA R SEVERIANO;0;3.0;5.0;64.0;121.0
310;LSA AFRA;114;0.0;0.0;0.0;4405.0
311;LSA AMBACU;413;0.0;0.0;0.0;14255.0
312;LSA CAMPONEZA;890;0.0;0.0;0.0;33525.0
313;LSA CANARIO;288;0.0;0.0;0.0;12104.0
314;LSA CARDEAL;358;0.0;0.0;0.0;12376.0
315;LSA CETEX;408;0.0;0.0;0.0;17753.0
316;LSA CURIO;481;0.0;0.0;0.0;17450.0
317;LSA DART;381;0.0;0.0;0.0;13476.0
318;LSA FRAMBEL;884;0.0;0.0;0.0;36851.0
319;LSA INVERNADA;654;0.0;0.0;0.0;35259.0
320;LSA LETICIA;811;0.0;0.0;0.0;26388.0
321;LSA MARAJO;405;0.0;0.0;0.0;18080.0
322;LSA MARECHAL;458;0.0;0.0;0.0;14182.0
323;LSA MATRIZ;920;0.0;0.0;0.0;37455.0
324;LSA MERCADEGUE;179;0.0;0.0;0.0;4579.0
325;LSA METROPOL;333;0.0;0.0;0.0;9278.0
326;LSA PEDAGIO;369;0.0;0.0;0.0;18512.0
327;LSA PELICANO;379;0.0;0.0;0.0;15180.0
328;LSA PINTOR;212;0.0;0.0;0.0;6282.0
329;LSA PRAJU;173;0.0;0.0;0.0;4296.0
330;LSA QUIROA;385;0.0;0.0;0.0;15190.0
331;LSA RADIO;550;0.0;0.0;0.0;22582.0
332;LSA RAPI;686;0.0;0.0;0.0;23970.0
333;LSA RIBEIRINHA;36;0.0;0.0;0.0;1635.0
334;LSA RODUTRA;666;0.0;1.0;5.0;34740.0
335;LSA SABIA;228;0.0;0.0;0.0;9114.0
336;LSA SAMPAIO;97;0.0;0.0;0.0;2834.0
337;LSA SHALON;544;0.0;0.0;0.0;22343.0
338;LSA TROPICAL;566;0.0;0.0;0.0;17803.0
